#Person location Sublocation StartTime EndTime Type
40035 972 1 8560920 0 1
40035 972 1 8562360 0 1
40027 5133 1 9405060 0 1
40024 997 1 10523700 0 1
40020 5185 1 9751620 0 1
40001 5037 1 10251120 0 1
40037 975 1 9613800 0 1
40037 982 1 9618660 0 1
40011 971 1 8706180 0 1
40016 5042 1 9493020 0 1
40044 5265 1 9545580 0 1
40048 1237 1 18951840 0 1
40032 1112 1 8151060 0 1
40022 968 1 8698500 0 1
40022 993 1 8747460 0 1
40004 984 1 8970240 0 1
40004 996 1 8978880 0 1
40008 978 1 8113980 0 1
40009 5188 1 10191420 0 1
40002 994 1 10200600 0 1
40014 974 1 8428080 0 1
40027 1152 1 9407520 0 1
40024 997 1 10522920 0 1
40010 971 1 10315740 0 1
40001 976 1 10257840 0 1
40015 639 1 8322180 0 1
40037 5049 1 9607020 0 1
40023 973 1 9864060 0 1
40011 971 1 8709060 0 1
40016 1035 1 9501600 0 1
40016 1068 1 9506580 0 1
40017 5032 1 8396820 0 1
40017 981 1 8409780 0 1
40059 982 1 9307080 0 1
40056 978 1 10154640 0 1
40056 995 1 10160880 0 1
40032 990 1 8150280 0 1
40053 520 1 9684180 0 1
40053 520 1 9695700 0 1
40052 4001 1 10299540 0 1
40047 1274 1 25902900 0 1
40047 1274 1 25905300 0 1
40022 968 1 8691540 0 1
40022 968 1 8721540 0 1
40004 973 1 8954400 0 1
40022 997 1 8877060 0 1
40060 5112 1 9076800 0 1
40045 5302 1 7877820 0 1
40051 977 1 10483620 0 1
40035 1096 1 8576760 0 1
40024 5185 1 10494840 0 1
40020 5185 1 9751860 0 1
40001 5259 1 10251960 0 1
40049 992 1 9061680 0 1
40011 971 1 8697540 0 1
40058 764 1 11838900 0 1
40017 974 1 8397420 0 1
40017 981 1 8399940 0 1
40044 5265 1 9545640 0 1
40054 986 1 9081660 0 1
40007 969 1 8022600 0 1
40052 5048 1 10299900 0 1
40022 5038 1 8696160 0 1
40022 993 1 8763300 0 1
40022 993 1 8792100 0 1
40022 993 1 8797140 0 1
40045 995 1 7897200 0 1
40009 970 1 10194060 0 1
40033 975 1 10091040 0 1
40018 985 1 10143420 0 1
40034 894 1 8962080 0 1
40014 5034 1 8425680 0 1
40024 978 1 10498440 0 1
40024 978 1 10509960 0 1
40015 639 1 8317020 0 1
40023 973 1 9866160 0 1
40044 889 1 9543240 0 1
40059 979 1 9303900 0 1
40003 1014 1 20522520 0 1
40054 977 1 9076080 0 1
40054 986 1 9097680 0 1
40053 1091 1 9681300 0 1
40026 5153 1 22592400 0 1
40022 5256 1 8696160 0 1
40022 968 1 8705700 0 1
40022 993 1 8760420 0 1
40022 993 1 8771940 0 1
40022 995 1 8809380 0 1
40004 970 1 8977440 0 1
40008 978 1 8125500 0 1
40051 512 1 10484400 0 1
40042 983 1 9574560 0 1
40034 894 1 8961660 0 1
40034 894 1 8963520 0 1
40035 1103 1 8586060 0 1
40030 5275 1 8513820 0 1
40062 970 1 10013520 0 1
40013 5035 1 10271400 0 1
40013 975 1 10271460 0 1
40001 5212 1 10249200 0 1
40049 992 1 9058200 0 1
40015 977 1 8304900 0 1
40015 977 1 8306340 0 1
40015 639 1 8320740 0 1
40037 982 1 9613800 0 1
40011 971 1 8694660 0 1
40011 1093 1 8714820 0 1
40025 973 1 8830680 0 1
40058 5115 1 11832300 0 1
40058 764 1 11833740 0 1
40017 981 1 8404620 0 1
40017 981 1 8408940 0 1
40059 5035 1 9303480 0 1
40059 979 1 9304140 0 1
40059 979 1 9305580 0 1
40054 986 1 9100560 0 1
40007 969 1 8015640 0 1
40004 973 1 8950080 0 1
40022 997 1 8878500 0 1
40034 822 1 8959680 0 1
40013 5049 1 10260180 0 1
40043 976 1 9826200 0 1
40001 5037 1 10249620 0 1
40049 5259 1 9047640 0 1
40023 973 1 9858300 0 1
40011 971 1 8703300 0 1
40006 976 1 8201760 0 1
40016 1068 1 9503700 0 1
40016 1031 1 9515220 0 1
40058 764 1 11838060 0 1
40017 5116 1 8396580 0 1
40056 995 1 10159440 0 1
40007 1026 1 8022900 0 1
40053 898 1 9658260 0 1
40053 977 1 9659040 0 1
40053 1091 1 9669780 0 1
40022 968 1 8701380 0 1
40022 995 1 8802180 0 1
40004 984 1 8973120 0 1
40004 970 1 8977440 0 1
40022 502 1 8889300 0 1
40022 522 1 8898660 0 1
40045 995 1 7897620 0 1
40045 995 1 7899900 0 1
40051 5185 1 10482060 0 1
40000 1228 1 9122220 0 1
40002 5302 1 10198080 0 1
40019 1069 1 17633820 0 1
40024 1111 1 10524360 0 1
40062 970 1 10011180 0 1
40049 5259 1 9047640 0 1
40015 639 1 8323620 0 1
40015 987 1 8327220 0 1
40037 975 1 9607500 0 1
40011 5123 1 8684040 0 1
40050 1151 1 30500640 0 1
40017 974 1 8396580 0 1
40044 983 1 9548760 0 1
40059 996 1 9301260 0 1
40054 5313 1 9091380 0 1
40053 977 1 9664020 0 1
40026 5153 1 22593120 0 1
40026 7312 1 22596900 0 1
40022 993 1 8757540 0 1
40022 997 1 8839620 0 1
40004 970 1 8976780 0 1
40045 995 1 7899720 0 1
40033 975 1 10092720 0 1
40040 5239 1 10153740 0 1
40000 974 1 9098640 0 1
40042 969 1 9574560 0 1
40042 983 1 9576540 0 1
40014 974 1 8426640 0 1
40019 1069 1 17636880 0 1
40013 975 1 10267860 0 1
40013 975 1 10271760 0 1
40001 976 1 10252560 0 1
40006 996 1 8206080 0 1
40016 5042 1 9493020 0 1
40056 5117 1 10154520 0 1
40007 969 1 8021460 0 1
40052 5252 1 10299900 0 1
40004 973 1 8958720 0 1
40022 997 1 8848260 0 1
40022 997 1 8858340 0 1
40022 997 1 8888220 0 1
40045 5267 1 7899720 0 1
40033 5186 1 10090740 0 1
40040 1115 1 10158720 0 1
40046 5079 1 10394280 0 1
40010 971 1 10328700 0 1
40043 976 1 9823320 0 1
40001 1099 1 10249680 0 1
40049 969 1 9049020 0 1
40049 915 1 9065400 0 1
40015 987 1 8326500 0 1
40011 5123 1 8683920 0 1
40011 971 1 8701860 0 1
40016 939 1 9493020 0 1
40044 969 1 9548760 0 1
40038 810 1 26417040 0 1
40056 978 1 10159140 0 1
40032 1112 1 8150400 0 1
40054 5313 1 9091380 0 1
